,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100,horsepower-binned,fuel-type-diesel,fuel-type-gas,std,turbo
0,3,,alfa-romero,two,convertible,rwd,front,88.6,0.8111484863046613,0.8865836791147994,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000,21,27,16500,11.19047619047619,8.703703703703704,Low,False,True,True,False
1,1,,alfa-romero,two,hatchback,rwd,front,94.5,0.8226814031715521,0.9059474412171508,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000,19,26,16500,12.368421052631579,9.038461538461538,Medium,False,True,True,False
2,2,164,audi,four,sedan,fwd,front,99.8,0.8486304661220567,0.9156293222683265,54.3,2337,ohc,four,109,mpfi,3.19,3.40,10.0,102.0,5500,24,30,13950,9.791666666666666,7.833333333333333,Low,False,True,True,False
3,2,164,audi,four,sedan,4wd,front,99.4,0.8486304661220567,0.9183955739972338,54.3,2824,ohc,five,136,mpfi,3.19,3.40,8.0,115.0,5500,18,22,17450,13.055555555555555,10.681818181818182,Low,False,True,True,False
4,2,,audi,two,sedan,fwd,front,99.8,0.8519942335415667,0.91701244813278,53.1,2507,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,15250,12.368421052631579,9.4,Low,False,True,True,False
5,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.7,2844,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,17710,12.368421052631579,9.4,Low,False,True,True,False
6,1,,audi,four,wagon,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.7,2954,ohc,five,136,mpfi,3.19,3.40,8.5,110.0,5500,19,25,18920,12.368421052631579,9.4,Low,False,True,True,False
7,1,158,audi,four,sedan,fwd,front,105.8,0.9259971167707832,0.9875518672199172,55.9,3086,ohc,five,131,mpfi,3.13,3.40,8.3,140.0,5500,17,20,23875,13.823529411764707,11.75,Medium,False,True,False,True
8,0,,audi,two,hatchback,4wd,front,99.5,0.8563190773666506,0.9391424619640388,52.0,3053,ohc,five,131,mpfi,3.13,3.40,7.0,160.0,5500,16,22,,14.6875,10.681818181818182,Medium,False,True,False,True
9,2,192,bmw,two,sedan,rwd,front,101.2,0.849591542527631,0.8962655601659751,54.3,2395,ohc,four,108,mpfi,3.50,2.80,8.8,101.0,5800,23,29,16430,10.217391304347826,8.10344827586207,Low,False,True,True,False
